offspring_id known_id candidate_id session new_offspring_id id_flow
1.MO2.08_H1_R2_03 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R2_03 1.MO2.08_H1_R2
1.MO2.08_H1_R2_04 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R2_04 1.MO2.08_H1_R2
1.MO2.08_H1_R2_05 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R2_05 1.MO2.08_H1_R2
1.MO2.08_H1_R2_06 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R2_06 1.MO2.08_H1_R2
1.MO2.08_H1_R2_07 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R2_07 1.MO2.08_H1_R2
1.MO2.08_H1_R2_08 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R2_08 1.MO2.08_H1_R2
1.MO2.08_H1_R2_09 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R2_09 1.MO2.08_H1_R2
1.MO2.08_H1_R2_10 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R2_10 1.MO2.08_H1_R2
1.MO2.08_H1_R2_12 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R2_12 1.MO2.08_H1_R2
1.MO2.08_H1_R2_13 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R2_13 1.MO2.08_H1_R2
1.MO2.08_H1_R2_14 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R2_14 1.MO2.08_H1_R2
1.MO2.08_H1_R2_15 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R2_15 1.MO2.08_H1_R2
1.MO2.08_H1_R2_16 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R2_16 1.MO2.08_H1_R2
1.MO2.08_H1_R2_17 1.MO2.08 1.MO2.09 1.MO2 1.MO2.08_H1_R2_17 1.MO2.08_H1_R2
1.MO2.08_H1_R4_03 1.MO2.08 1.MO2.10 1.MO2 1.MO2.08_H1_R4_03 1.MO2.08_H1_R4
1.MO2.08_H1_R4_04 1.MO2.08 1.MO2.03 1.MO2 1.MO2.08_H1_R4_04 1.MO2.08_H1_R4
1.MO2.08_H1_R4_05 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R4_05 1.MO2.08_H1_R4
1.MO2.08_H1_R4_06 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R4_06 1.MO2.08_H1_R4
1.MO2.08_H1_R4_07 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R4_07 1.MO2.08_H1_R4
1.MO2.08_H1_R4_08 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R4_08 1.MO2.08_H1_R4
1.MO2.08_H1_R4_09 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R4_09 1.MO2.08_H1_R4
1.MO2.08_H1_R4_12 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R4_12 1.MO2.08_H1_R4
